x (m)	z (m)
0.000000000000000000e+00	0.000000000000000000e+00
2.109083868978110646e-05	1.278975316209541614e-02
1.159131620307566691e-03	1.151313250287820389e-01
3.358605435926849923e-03	3.196952355960993031e-01
6.737863614482182337e-03	6.266365986287265599e-01
1.117040464217657243e-02	1.035832901251357852e+00
1.677547512235334770e-02	1.547432221062744251e+00
2.343111917796395979e-02	2.161272867368650985e+00
3.125506603340554718e-02	2.877535581428619427e+00
4.012483166153187064e-02	3.696026726088245340e+00
5.017440331381107371e-02	4.616922267987507489e+00
6.126143231209777579e-02	5.640050612529710072e+00
7.354840206689691740e-02	6.765555732034928660e+00
8.686066473405398836e-02	7.993304390589386799e+00
1.013689052178075173e-01	9.323447795795010151e+00
1.168956261543189767e-01	1.075581896703782370e+01
1.336143384097233933e-01	1.229060544516262077e+01
1.513436775500881792e-01	1.392760239624175078e+01
1.702686227555629817e-01	1.566702211334765060e+01
1.901936211509990815e-01	1.750864214159827981e+01
2.113254251058062916e-01	1.945267914247305541e+01
2.334440309925276957e-01	2.149891353843736397e+01
2.567822056570966960e-01	2.364755885723236162e+01
2.810925022210335467e-01	2.589839901552834078e+01
3.066367158845344498e-01	2.825164385794034416e+01
3.331369315363091332e-01	3.070708136505226449e+01
3.608870002222189788e-01	3.326491719645792244e+01
3.895755150953135182e-01	3.592494391019997835e+01
4.195313883491806894e-01	3.868736253631313105e+01
4.504067362049279932e-01	4.155197065762656194e+01
4.825684764132217586e-01	4.451896429804096300e+01

